,cluster no,tweet id,tweet
82,82,1,"RT @bakhabarsavera: March 23rd, Shafaat Ali meets Ali Zafar in a funny manner.

Full video here: https://t.co/PMiOMRoake
#BakhabarSavera #A…"
83,83,2,The plant would strengthen the company’s position as the primary screen supplier for Apple Inc as sales of the… https://t.co/xgwwUUn29x
84,84,2,“Last Friday I stood in this mosque and saw the hatred and the rage in the eyes of the terrorist who killed and mar… https://t.co/vQCrZvu69W
85,85,0,The government of #Punjab is likely to establish seven new #police stations in #Rawalpindi and a summary in this re… https://t.co/9kR6Ch1j3Y
86,86,2,"Additional Director of State Bank of Pakistan (SBP) has said one can invest with minimum of $5,000 in Pakistan Bana… https://t.co/UFhBI1DXwl"
87,87,0,"RT @arydigitalasia: Have a look at all your favorite celebrities talking about #SherDil and its cast
#ARYDigital #ARYFilms https://t.co/Z6o…"
88,88,7,"Cutting ties with Facebook is harder than you think. Here's how to do it, and what's at stake.… https://t.co/Q1aLPJ83G7"
89,89,1,"The verdict was announced by a two-member bench headed by chief justice LHC
#ARYNews #SahiwalFiring… https://t.co/uMe3UPq8We"
90,90,2,"RT @nytimesworld: A military-linked party took an unexpected lead in elections in Thailand, most likely cementing the army’s status as the…"
91,91,2,"""The resounding message from servers in New York to these actresses in Hollywood is to just leave us alone."" https://t.co/JCFJmyQabE"
92,92,1,RT @NYTNational: The death of a 16-year-old boy on Saturday was the second apparent suicide in the span of a week involving a student survi…
93,93,2,"Bernie Sanders: ""I don’t want a summary of the Mueller report. I want the whole damn report.""

Elizabeth Warren: ""C… https://t.co/th7ESLXlaP"
94,94,2,"RT @MitchKSmith: As floodwaters recede in much of the Midwest, portions of the Pine Ridge Indian Reservation in South Dakota remain cut off…"
95,95,8,Passengers airlifted from cruise ship stranded off Norway after ship suffers engine failure in stormy weather. https://t.co/WSdTiaGPo0
96,96,0,"Apple focused on selling hardware products for years. Now, it is turning to selling content and services for roughl… https://t.co/LbhyEoM5GA"
97,97,2,"For the first time since he was charged last month with 2 counts of soliciting prostitution in Florida, Robert Kraf… https://t.co/vu2G4nHPsT"
98,98,1,"Not only do 3 of New York state’s youngest lawmakers work together in Albany, but they also share a 7-room apartmen… https://t.co/HSEykfbozy"
99,99,3,"“You have the right to have a defence secretary whose views are better aligned with yours,” Jim Mattis tells US Pre… https://t.co/AzFdX4OhQ9"
100,100,0,"Friends and relatives of Atta Elayyan, one of the Christchurch victims laid to rest on Friday, tell the same storie… https://t.co/X5CGS3Wdr9"
101,101,2,Here's how we reported on this story that found former U.S. and Israeli intelligence operatives working on behalf o… https://t.co/3fIPHqGRYH
102,102,1,"Morning Briefing, Europe edition: Here’s what you need to know to start your day https://t.co/Wbi7yBq2MA"
103,103,2,RT @NYTSports: Here is who won on the first day of the NCAA men's basketball tournament. It wasn't just about Ja Morant. https://t.co/UFcU0…
104,104,0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/cx4Ri3Nyfc
105,105,1,Top minister in Canadian PM Justin Trudeau's cabinet quits in growing political crisis over alleged corruption case https://t.co/2fn09JhOvq
106,106,1,"Breaking News: Michael Avenatti, Stormy Daniels's ex-lawyer, was charged with trying to extort millions of dollars… https://t.co/ieHPDCkgDJ"
107,107,0,RT @andrewrsorkin: I sat down with Rajat Gupta for his first interview since he was convicted for insider trading in 2012. He told me about…
108,108,1,"“His sexual needs were his sexual needs, coming from whatever childhood he has or whatever DNA he has,” Barbra Stre… https://t.co/ki7mWU9rte"
109,109,1,"None of the women interviewed said Michael Steinhardt touched them inappropriately, but they said they felt pressur… https://t.co/fLPCXxBtjl"
110,110,4,Iconic jeans maker Levi Strauss surges in stock market return. See more in this week's markets now playlist… https://t.co/KBYfJc79SM
111,111,1,"6 women told The New York Times and ProPublica, and one said in a lawsuit, that the billionaire Michael Steinhardt… https://t.co/Q3VbJCRCcW"
112,112,0,Morning Briefing: Here's what you need to know to start your day https://t.co/aw6Im1s1L9
113,113,0,Royal adviser fired over Khashoggi murder absent from Saudi trial: sources https://t.co/05APqoCjdH
114,114,9,Lupita Nyong'o says working on Us – Jordan Peele's hotly anticipated follow up to Get Out - allowed her to access h… https://t.co/X14UXaLRHZ
115,115,0,"RT @NYTmag: Rick Steves is a gentle soul who wants to help you feel at home in the world. To the aspiring traveler, Steves is as inspiratio…"
116,116,2,"“Us” is more ambitious than “Get Out,” and in some ways more unsettling, @ManohlaDargis  writes in her review of Jo… https://t.co/nXnAO8HbaR"
117,117,1,RT @ReutersBiz: MORE: Apple is working with Goldman Sachs to be the issuing bank for Apple Card and is also working with Mastercard; Apple…
118,118,7,"Fed's Evans says have to be nervous about yield curve, but U.S. economy solid https://t.co/9bRCS8yALc https://t.co/huoIKLlVw7"
119,119,0,RT @geonews_sport: Griezmann stars as France hammer Moldova in their Euro qualifying campaign  https://t.co/s3fNoNcjjQ
120,120,5,"Apple unveils collection of digital services, signaling a new era for a company that has long focused on hardware. https://t.co/34vrVOTsu7"
121,121,1,"HS2 rail chairman Sir Terry Morgan tells BBC he expects to be sacked within days, months after getting job https://t.co/97cS3bAtYs"
122,122,5,"A Hollywood star-studded red carpet event is coming to Cupertino, where Apple is expected to unveil a new video str… https://t.co/i4XaoSebee"
123,123,0,"In Hong Kong, no. 44 on our 52 Places To Go list, dazzling new infrastructure makes travel easier. But could that t… https://t.co/6XAaSLwBYK"
124,124,0,"Singer R Kelly has been charged with sexual offences in Illinois, US media report https://t.co/sGv0fIpKCN"
125,125,12,A Mesa Airlines flight attendant who was erroneously reassured by her airline that she could fly to Mexico was take… https://t.co/oQfaxJh3or
126,126,7,"After vowing to strangle Iran's economy, Trump admin. is divided over how far to squeeze Tehran. https://t.co/jITa5dS5IS"
127,127,2,.@Reuters journalists Wa Lone and Kyaw Soe Oo have been imprisoned in Myanmar for 469 days. Follow updates on the c… https://t.co/PLbseF5r1k
128,128,0,"Tightlipped and evasive, she parried questions until EU chiefs asked her to leave Thursday’s summit meeting and emb… https://t.co/AWbnb0jT1n"
129,129,2,A fight breaks out during a motorcycle race in Costa Rica https://t.co/of3undCyUD
130,130,1,"India, it seems, wants to keep the Kartarpur event low-profile and dispel the impression that the ice may be meltin… https://t.co/jDSr6Ah59P"
131,131,0,"U.S. buyers of Venezuelan oil sub in Shell, BP offshore crude https://t.co/raqYqHEcoN https://t.co/Pl8pP9TS1x"
132,132,1,Blue Jackets’ Bobrovsky made 21 saves for his seventh shutout of the NHL season. For more results from the NHL… https://t.co/Pkq5JuSnkJ
133,133,2,INSIGHT: The making of militants in India's 'paradise on earth' https://t.co/kYe4nQEnkI by @zebatweets @fayazbukhari https://t.co/IMogdR2ab0
134,134,2,"Surprise, suspicion in Thailand as pro-army party leads election race https://t.co/EwmKqokVJK via @ChayutSet… https://t.co/iY0JBFIRIO"
135,135,0,"With 29 points, 11 rebounds and 11 assists, LeBron leads the Lakers to a win against the Kings, ending their losing… https://t.co/WUv6QvccA9"
136,136,1,"Top-seeded Virginia tops Oklahoma, back in Sweet 16 https://t.co/Gk3ouuGyBz https://t.co/PxmrkhGD9j"
137,137,1,Spring training roundup: Cabrera continues torrid spring https://t.co/eEfBJWR1yt https://t.co/G0gRDE5gQo
138,138,2,"Mali leader sacks generals, disbands vigilantes after massacre https://t.co/2EeVyIWdXe https://t.co/unSRcfcmN9"
139,139,2,YouTube cancels high-end dramas and comedies: Bloomberg https://t.co/IKjhlyhnqk https://t.co/R0ZIefw0Mj
140,140,1,RT @ReutersUK: UK prison guards smell a rat and find rodents stuffed with drugs https://t.co/M4FWzAVsFW https://t.co/csAjw57qEd
141,141,1,Sinha is likely to join Congress and contest the upcoming Indian election from Patna Sahib – the seat he won on a B… https://t.co/Dxrwdz9rSB
142,142,2,"It's a bird, it's a plane...it's a wingsuit stunt in L.A. See more in this week's ICYMI playlist… https://t.co/mtp8EY0o0u"
143,143,6,Roughly three weeks ago the special counsel's team told Attorney General Bill Barr and Deputy Attorney General Rod… https://t.co/C2cXNuUWFf
144,144,1,RT @NYTNational: North Carolina is evenly split politically. But Republicans drew maps that gave them 10 of the state's 13 House seats. Can…
145,145,0,"JUST IN: Lufthansa says 46 flights canceled on Monday due to software glitch; 4,500 passengers affected in Frankfurt https://t.co/x92tfOACnH"
146,146,0,Uber could announce $3 billion deal with Careem early this week: sources https://t.co/oyevNuLlNc
147,147,2,"With an eye on Iran, U.S. clinches strategic port deal with Oman https://t.co/XZkf3PYWqD https://t.co/yfWn3qjfK4"
148,148,2,Morant not ready to discuss NBA Draft https://t.co/atpqMwANax https://t.co/Z5TtocIz6Z
149,149,0,"Birmingham City fan jailed for 14 weeks for attacking Aston Villa captain Jack Grealish during match on Sunday

https://t.co/pyhZu3x6tK"
150,150,1,WATCH: Mother polar bear Tonja shows off her cub for the first time at Berlin zoo https://t.co/wRsDGQKCHf
151,151,1,"Finnish minister threatened at election rally, escapes unhurt: police https://t.co/fj9eCZ8m27 https://t.co/0o60UyECQW"
152,152,2,Moroccan teachers start new protest over working conditions https://t.co/wCrJdTeD1L https://t.co/sIYfgrxdB8
153,153,0,"Angus Sinclair, thought to be Scotland's worst serial killer, has died at the age of 73 https://t.co/54b57XT4Mw"
154,154,5,"US Senate has passed a resolution, 54-46, to end US involvement in Saudi-led war in Yemen, a bipartisan rebuke of T… https://t.co/plo2FPWfgO"
155,155,0,"Abu Dhabi aims to lure start-ups with investment in new technology hub 

https://t.co/SF4YTSZMQk"
156,156,0,"Rafi Eitan, the Israeli spymaster who commanded the Nazi-hunting team that captured Adolf Eichmann in Argentina, ha… https://t.co/0awhrp1nyh"
157,157,1,RT @ARYNEWSOFFICIAL: John Milne sits on his bed and sobs as he pens an anguished letter to his murdered teenage son Sayyad — one of 50 peop…
158,158,1,"RT @nytimesarts: For four decades the artist McArthur Binion worked almost completely under the radar, handling his own occasional sales an…"
159,159,1,"Rio Tinto halts rail, mine operations in Western Australia as cyclone hits https://t.co/b1YzcvQ9lZ https://t.co/okOzm2d9T2"
160,160,0,Cyclone Idai has devastated Southern Africa. Here’s how to help. https://t.co/9z31sxSvSz
161,161,2,"It's been 20 years since Nato bombed Serbia, ending the Kosovo war

But for some, the conflict lives on

[tap to ex… https://t.co/x4WAumRC4Y"
162,162,2,"RT @BBC_HaveYourSay: ""I don't want to be famous and I like a quiet life"" says Shen Wei

But crowds of people in China want his attention 🇨🇳…"
163,163,0,Taiwan’s president will travel to the South Pacific to shore up ties with 3 island nations that still recognize Tai… https://t.co/Ea8NQWO2nE
164,164,4,"As many as ""300 to 400"" bodies line the banks of a road out of the city of Beira, in Mozambique, according to an ey… https://t.co/tmi4eMxiAw"
165,165,1,RT @bbcweather: #CycloneVeronica &amp; #CycloneTrevor set to devastate parts of N &amp; NW Australia. Gusts to 250khm and up to 500mm of rain possi…
166,166,0,"RT @NYTNational: “I feel like I’ve been torn apart the most by my own community, quite frankly,” said Meredith Watson, one of Justin Fairfa…"
167,167,1,Former President Michel Temer of Brazil was arrested. He was a deeply unpopular leader and has been the target of n… https://t.co/VC7c4a8RYL
168,168,21,Eyewitness: People in Mozambique are starving along the 'road of suffering' https://t.co/r6kflfVqD2
169,169,3,"Former President Jimmy Carter is set to become the longest living president of all time on Friday. 

https://t.co/Te27ksTYET"
170,170,2,"Four men arrested in South Korea, accused of secretly filming 1,600 hotel room guests and selling the footage https://t.co/zJbfTA6Ae5"
171,171,3,"RT @BBCBreaking: Leader of Kazakhstan since independence from Soviet Union in 1991, Nursultan Nazarbayev, announces his resignation https:/…"
172,172,1,"Hindus across India and Nepal celebrate Holi, the festival of colours marking the beginning of spring… https://t.co/YYndjyQSbn"
173,173,2,"""It's so sad that this community has been brought down by this shooting"" 

Students in Christchurch come together t… https://t.co/NHGVxb6Mwr"
174,174,2,Kenyan anger over Turkana 'starvation' being ignored https://t.co/hE6krSl79B
175,175,2,"RT @BBCPolitics: ""We are really exhausted by these negotiations. It's not just a game, it's an extremely serious situation"" 

German Europe…"
176,176,0,"RT @BBCSport: He’s done it!

Lewis Hamilton becomes just the third driver to win a fifth world title.

An incredible achievement #bbcf1 #Me…"
177,177,0,"The original Reuben’s Delicatessen no longer exists in New York City, but its legend lives on in the form of this c… https://t.co/rQ51cw2w7M"
178,178,1,"Death toll in Mozambique from Cyclone Idai could reach 1,000, President Filipe Nyusi says

https://t.co/pkiuicwCXs"
179,179,1,"Joe Biden, concerned that his age could weigh on a 2020 presidential run, is considering naming a running mate earl… https://t.co/KSlfj3aFFY"
180,180,1,A five-month-old boy is rescued by soldiers from under a collapsed house after Indonesia's Papua province is hit by… https://t.co/32lnUmfhFU
181,181,2,"RT @BBCNews: 'You can respond with fear or friendship'

A man who stood outside a Manchester mosque with a placard says he wants to offer f…"
182,182,1,The version of parenting that Felicity Huffman espoused on her blog seems inconsistent with the actions she is char… https://t.co/oRAlo7ya2D
183,183,2,"Cyclones. Deforestation. Flooding. Wildfires.

This is how #ClimateChange and pollution is threatening these young… https://t.co/enDI7kGqau"
184,184,0,Manohar Parrikar: India PM Modi leads tributes https://t.co/Ry72YDUNsu
185,185,6,"With the world’s population projected to reach almost 10 billion by 2050, experts are looking for ways to make sure… https://t.co/Snkpwd60E1"
186,186,1,"RT @VictoriaLIVE: ‘It was 10-15 minutes of continuous shooting, it was so loud’

Mohan Ibrahim escaped the New Zealand mosque attack by cli…"
187,187,0,"The father of a Sandy Hook school shooting victim was found dead in an apparent suicide in Connecticut, the local p… https://t.co/kReWrSYEBM"
188,188,0,Varadkar will 'work with whoever is PM' https://t.co/8HMSRPhgbo
189,189,2,"He's announced he will take on Donald Trump in 2020. But who is presidential hopeful Beto O'Rourke?

[Tap to expand… https://t.co/eLrXItjbWq"
190,190,1,The names of 184 contestants were announced by the BJP for the seven-phase national elections that will run from Ap… https://t.co/TonyAZbmgw
191,191,2,"Many deaths also reported in Brazil grade school shooting. https://t.co/x6OlvqxBu8

Two young people were seen ente… https://t.co/6c5IMPrJjf"
192,192,1,Nigerian presidential election delayed for a week - election commission https://t.co/rquNPXtrEu
193,193,0,"In Colombia, a mother gave birth to a girl with her unformed twin sister growing inside her https://t.co/vOXGWskKfA"
194,194,2,Venezuelan President Maduro orders border with Brazil closed as opposition leaders plan to bring in foreign humanit… https://t.co/MzjkMmJy6G
195,195,2,"Chicago Police: Jussie Smollett is now ""classified as a suspect in a criminal investigation"" for allegedly ""filing… https://t.co/kZShOATyIk"
196,196,2,3 Chicago police officers found not guilty of attempting to cover up the 2014 deadly shooting of Laquan McDonald.… https://t.co/pc3Mz9bqMG
