clusterno,tweetd
10,1135492287264436224
10,1134571758160424962
10,1134057375701393408
10,1135224777084481539
10,1135164434828222464
10,1134001907926753286
10,1134579414321246208
10,1134095869136048128
10,1133506863805419520
10,1134133170109108225
10,1133081234106671104
10,1133019532220600320
10,1134796033710596096
10,1133682417766678528
10,1132977947453874177
10,1134051415289159680
10,1133695479588544512
10,1132848299348824071
10,1132994510437400576
10,1132984348913872899
10,1132579739573608448
10,1132619325544828928
10,1132595032744255488
10,1132198502728163328
10,1131966917961539593
10,1131850202703376384
10,1131850176644177920
10,1135146324532322304
10,1131604697666805760
10,1131287054892052480
10,1133890629472346113
10,1134189125244981249
10,1131139380867928064
10,1131534032049770496
10,1131521406049640448
10,1135510056684969985
10,1135438708855967747
10,1133693903423660032
10,1133844551247048704
10,1134076775921848320
10,1133763918424367104
10,1132816294649257985
10,1135230679212613632
10,1131855871166812161
10,1130855590677233667
10,1131232938262257664
10,1130585614716477441
10,1128364841188712448
10,1134245465652957185
10,1127915891897896960
10,1120306878876192775
10,1123633236570066945
10,1119230686978805760
10,1118893784773709824
10,1123595267872178177
10,1123366830414934016
10,1118870464749817856
10,1134535039453224960
10,1118878624738889728
10,1118303063184252929
10,1124038558636019712
10,1118922334063214593
10,1117855061810536451
10,1134863614328922114
10,1123632696456953856
10,1113127327972589570
10,1117819168743731203
10,1111714733550419968
10,1111275251189669890
10,1132446971954913280
10,1115954102972952576
10,1110320790040244225
10,1133797028629229572
10,1110210513752023040
10,1109920878622638081
10,1113245531252363264
10,1109914771128750086
10,1109201677167611904
10,1133318493812723712
10,1116116863354675200
10,1108872071222718466
10,1131950926426714112
10,1113831274525986818
10,1106268515600871424
10,1128323289435332609
10,1113465752437297153
10,1106249885005680641
10,1090338942224863232
10,1106260262410223621
10,1105923545429889028
10,1135551450384408578
10,1135497511316205568
10,1105861598835544064
10,1111641750756642816
10,1105549857262133249
10,1105544646300712963
10,1123314663134040064
10,1123216260593061888
10,1102619602100633601
10,1102645913984614401
10,1102382093601030146
10,1102376057708138496
10,1118630483678699520
10,1106404576595533824
10,1101496140376170496
10,1107660197634428929
10,1103351395644817408
10,1101023936177938438
10,1101030751490002944
10,1101026983176273920
10,1101023840430424064
10,1132271593407885314
10,1111447492145659905
10,1101019511560511488
10,1113565319367360512
10,1106261380540391425
10,1100870333127630853
10,1125427455328694275
10,1100809135120093184
10,1100770027148591104
10,1101014446091177989
10,1101010259022241792
10,1100720717480497153
10,1109577094202302464
10,1109577076682735616
10,1100716709713977344
10,1134161313847025664
10,1133601430974205953
10,1100090535686090759
10,1113163460152582144
10,1105168669271838721
10,1099391420404822016
10,1100748321969373184
10,1100726650252247042
10,1098960455681355777
10,1132174807154532352
10,1131236033729835008
10,1097664881199726592
10,1100395931168583681
10,1096435544794517505
10,1092983424791515136
10,1100081811277926400
10,1092979861583482880
10,1092967131371589632
10,1124294747345117184
10,1121757235858890752
10,1091329200785641473
10,1091666768802824193
10,1091330043035439106
10,1090007809150935042
10,1088989016119173120
10,1088950781053521920
10,1088878739759529984
10,1091785550292492289
10,1091478763458576384
10,1088878347705376772
10,1105597627465265152
10,1088819217212866561
10,1088813773601804292
10,1098635685588803585
10,1088171437616177152
10,1088146783509856262
10,1088833828901261312
10,1088761437034561536
10,1088144968189923330
10,1126298419520253952
10,1088140399389089792
10,1086346579378876416
10,1134113036627787777
10,1105824526229741569
10,1085936749711380481
10,1131268811188002819
10,1110965013001453568
10,1085617877221343233
10,1085262413908377600
10,1085260710932824069
10,1085260087277637632
10,1131515522724585474
10,1085559173390258176
10,1084012248555753473
10,1131437421550362626
10,1083014760118079488
10,1082415077184204805
10,1088573913347444737
10,1088231371926065152
10,1082266573719724032
10,1086310689218744322
10,1086045767050117120
10,1081897450200354816
10,1109199269452492802
10,1085194625113944068
10,1078009727819362304
10,1105969956296880128
10,1088537409946611713
10,1076343381863784448
10,1132640636539146240
10,1132620444924809216
10,1075087269621571585
