clusterno,tweetd
1754,1112098851563937792
1755,1111298389843562499
1756,1112456297402822658
1757,1111621773316050945
1758,1111599657069801472
1759,1111569204732485632
1760,1111432303383711746
1761,1111392294115176450
1762,1112667199725027328
1763,1111565172441784321
1764,1111413925948489730
1765,1112145407285575680
1766,1111930568189636608
1767,1112592233277067269
1768,1108995693597745152
1769,1112433147793367042
1770,1112405714415337472
1771,1111391725157863425
1772,1112609314122932224
1773,1111988688521711617
1774,1112040051364585474
1775,1111707104857985024
1776,1111647297383866369
1777,1111383726917742592
1778,1111357317679861760
1779,1112175259007049730
1780,1112239595322855425
1781,1112216829467025408
1782,1112169158517628930
1783,1112623592666222592
1784,1112590719410147329
1785,1112166543411109888
1786,1112050093245501442
1787,1066843094920953857
1788,1112389582144880640
1789,1112152639968608256
1790,1112091031816888321
1791,1112041955633053696
1792,1111261637292511235
1793,1111077984230879232
1794,1063089150021255171
1795,1112467371644633088
1796,1112445965309497344
1797,1111821618060378112
1798,1111687986960363525
1799,1112596220583821313
1800,1111358276766232582
1801,1112413122894196737
1802,1112197955170242560
1803,1112150202104930307
1804,1112174297093672965
1805,1112162704716939267
1806,1112127605216555013
1807,1112117464274534400
1808,1112054462707875841
1809,1112026330332319744
1810,1112028216124993536
1811,1071120129428197377
1812,1111210330766622720
1813,1112118783630553090
1814,1112408116992376833
1815,1112186629370859520
1816,1112065576254521344
1817,1111213878493540354
1818,1112661019250307072
1819,1112050720541474817
1820,1112658484338847744
1821,1112534555762835456
1822,1112583181268598784
1823,1112546854565265410
1824,1112557985425952769
1825,1112546063863504896
1826,1112550273799593984
1827,1111799867255545856
1828,1112696708859944960
1829,1111443133345095680
1830,1112550036125159424
1831,1112652080047706113
1832,1112708740455776256
1833,1110552633784315904
1834,1111352279897116672
1835,1112455593607024640
1836,1063469672178360320
1837,1062993118071529472
1838,1112222147370463232
1839,1111153473528184832
1840,1111081745271738378
1841,1112143388197953536
1842,1099620006369918977
1843,1112114908617953281
1844,1112116070318555138
1845,1112092254930378754
1846,1112038476088782849
1847,1112076402101272576
1848,1112053188918681600
1849,1111270073610711040
1850,1110789079195635712
1851,1110733469913616384
1852,1109338410399993856
1853,1112103733389873152
1854,1112045796302569472
1855,1112036754071130112
1856,1063457318812164096
1857,1112067888180088832
1858,1111868390946361346
1859,1105829515115327488
1860,1112144499466272768
1861,1111811732782174208
1862,1105853898638704645
1863,1112599087294107648
1864,1112492479234932737
1865,1111799273031680001
1866,1065120739194560512
1867,1111855838208106497
1868,1102673086858567681
1869,1111817836551385088
1870,1111763027479662592
1871,1111311759049138176
1872,1109790575170068480
1873,1093879514638241792
1874,1093872521865236482
1875,1111680186557308928
1876,1093874680010887169
1877,1059852914376634368
1878,1111701948103868418
1879,1111681486388977664
1880,1112625676849426432
1881,1112612697684787200
1882,1111618773361004549
1883,1111588062520397824
1884,1100536831404376064
1885,1096587923254857728
1886,1111512902110982144
1887,1110191368872300544
1888,1109924893657915393
1889,1109625762947182592
1890,1105925413677793281
1891,1105800840504315904
1892,1112368955291779072
1893,1112278360217014272
1894,1112051870011400193
1895,1112490259743412228
1896,1111605267693780992
1897,1111439098953121793
1898,1110448468630405120
1899,1112078563556110338
1900,1112029435023290369
1901,1111346017260179458
1902,1086779839867248643
1903,1083184504250998784
1904,1111249926963585025
1905,1111226075751870464
1906,1086798020052729856
1907,1112150787176706055
1908,1112428220241059842
1909,1112369281973583877
1910,1111221204046757889
1911,1111658079941246976
1912,1111216851101589504
1913,1111211226145673216
1914,1066779464594571264
1915,1111307607397027840
1916,1111075464804732928
1917,1067160857715470341
1918,1111335824535244801
1919,1111262985559949312
1920,1067096073863348229
1921,1067090089673719810
1922,1112416019841196032
1923,1111418769035821056
1924,1111318694767063040
1925,1111278064175067136
1926,1112055668163395584
1927,1112010369021739009
1928,1111016465598242817
1929,1059984846913708032
1930,1112104987608387585
1931,1112052116825231368
1932,1112095171397726215
1933,1112049935866839040
1934,1112046962667372544
1935,1112384580768722947
1936,1111735560899608577
1937,1112037037073412097
1938,1111999292405940224
1939,1111829168986181632
1940,1112034633661771782
1941,1111002807124062210
1942,1108719119665373184
1943,1073774005193035776
1944,1112052402964840449
1945,1111307335966830595
1946,1111093078805368832
1947,1110912916394598400
1948,1111902110906486784
1949,1111421481781596165
1950,1110910047243157505
1951,1111202537447804928
1952,1110991143888736256
1953,1110903117678342145
1954,1110977293122502656
1955,1110566032681435137
1956,1098606269773033472
1957,1110912639461457923
1958,1111450682253561856
1959,1111700535340601345
1960,1064632882558394368
1961,1112430382832668673
1962,1111547348096860165
1963,1060143578855366656
1964,1060042917845315584
1965,1112617784448557056
1966,1111730010770018306
1967,1111642211253399553
1968,1111579754715594753
1969,1111493351222771712
1970,1112691097279569921
1971,1111455699249307650
1972,1111998955301277696
1973,1111945427908247552
1974,1111474561441247232
1975,1111482685975941120
1976,1112119813202235397
1977,1112044315356753920
1978,1110853127027281926
1979,1095291773369413633
1980,1111219188264259585
1981,1110693653314527232
1982,1088146783509856262
1983,1112697759205900289
1984,1112643408709988352
1985,1110658123897946114
